timestamp,provedor,endpoint,http,dns_ms,conn_ms,tls_ms,ttfb_ms,total_ms,bytes,server_ms,cf_pop,origem
2026-07-27T03:11:34+00:00,fly,/health,200,0.8,7.1,27.5,296.4,296.6,85,0.010199,IAD,github-us
2026-07-27T03:11:34+00:00,fly,/db,503,0.8,7.5,27.8,177.2,177.4,32,,IAD,github-us
2026-07-27T03:11:35+00:00,fly,/cpu,200,0.8,8.3,28.7,601.6,601.8,68,251.123576,IAD,github-us
2026-07-27T03:11:35+00:00,fly,/payload,200,0.8,6.5,26.7,170.3,347.5,36017,,IAD,github-us
2026-07-27T03:11:37+00:00,fly,/health,200,0.8,7.3,27.7,172.7,172.9,84,0.01351,IAD,github-us
2026-07-27T03:11:38+00:00,fly,/db,503,0.9,7.4,27.9,329.2,329.4,32,,IAD,github-us
2026-07-27T03:11:38+00:00,fly,/cpu,200,0.8,6.9,27.3,502.0,502.2,68,173.451991,IAD,github-us
2026-07-27T03:11:39+00:00,fly,/payload,200,0.8,8.1,28.7,298.4,523.6,36371,,IAD,github-us
2026-07-27T03:11:41+00:00,fly,/health,200,0.8,6.4,26.8,156.3,156.4,85,0.010185,IAD,github-us
2026-07-27T03:11:41+00:00,fly,/db,503,0.8,6.9,27.1,192.9,193.1,32,,IAD,github-us
2026-07-27T03:11:42+00:00,fly,/cpu,200,0.8,6.4,26.8,342.0,342.2,68,161.258924,IAD,github-us
2026-07-27T03:11:42+00:00,fly,/payload,200,0.9,6.8,27.3,165.9,215.5,36386,,IAD,github-us
